season,winner,field_win,bat_win
2008,Chennai Super Kings,3,6
2008,Delhi Capitals,4,3
2008,Kings XI Punjab,6,4
2008,Kolkata Knight Riders,1,5
2008,Mumbai Indians,6,1
2008,Rajasthan Royals,9,4
2008,Royal Challengers Bangalore,1,3
2008,Sunrisers Hyderabad,2,0
2009,Chennai Super Kings,2,6
2009,Delhi Capitals,5,5
2009,Kings XI Punjab,3,4
2009,Kolkata Knight Riders,2,1
2009,Mumbai Indians,1,4
2009,Rajasthan Royals,3,3
2009,Royal Challengers Bangalore,2,7
2009,Sunrisers Hyderabad,4,5
2010,Chennai Super Kings,1,8
2010,Delhi Capitals,3,4
2010,Kings XI Punjab,1,3
2010,Kolkata Knight Riders,2,5
2010,Mumbai Indians,6,5
2010,Rajasthan Royals,1,5
2010,Royal Challengers Bangalore,3,5
2010,Sunrisers Hyderabad,4,4
2011,Chennai Super Kings,2,6
2011,Delhi Capitals,2,0
2011,Kings XI Punjab,5,1
2011,Kolkata Knight Riders,5,2
2011,Mumbai Indians,7,1
2011,Rajasthan Royals,2,2
2011,Royal Challengers Bangalore,7,0
2011,Sunrisers Hyderabad,2,2
2012,Chennai Super Kings,6,3
2012,Delhi Capitals,5,5
2012,Kings XI Punjab,4,3
2012,Kolkata Knight Riders,3,7
2012,Mumbai Indians,5,4
2012,Rajasthan Royals,2,3
2012,Royal Challengers Bangalore,6,0
2012,Sunrisers Hyderabad,1,1
2013,Chennai Super Kings,4,7
2013,Kings XI Punjab,6,0
2013,Kolkata Knight Riders,2,3
2013,Mumbai Indians,1,10
2013,Rajasthan Royals,5,5
2013,Royal Challengers Bangalore,6,1
2013,Sunrisers Hyderabad,1,7
2014,Chennai Super Kings,5,5
2014,Kings XI Punjab,11,1
2014,Kolkata Knight Riders,8,3
2014,Mumbai Indians,4,3
2014,Rajasthan Royals,5,2
2014,Royal Challengers Bangalore,4,1
2014,Sunrisers Hyderabad,4,2
2015,Chennai Super Kings,4,6
2015,Delhi Capitals,2,3
2015,Kings XI Punjab,3,0
2015,Kolkata Knight Riders,5,2
2015,Mumbai Indians,4,6
2015,Rajasthan Royals,4,3
2015,Royal Challengers Bangalore,5,3
2015,Sunrisers Hyderabad,5,2
2016,Delhi Capitals,6,0
2016,Kings XI Punjab,1,1
2016,Kolkata Knight Riders,5,1
2016,Mumbai Indians,6,0
2016,Royal Challengers Bangalore,5,0
2016,Sunrisers Hyderabad,5,2
2017,Delhi Capitals,1,1
2017,Kings XI Punjab,4,1
2017,Kolkata Knight Riders,6,1
2017,Mumbai Indians,8,1
2017,Sunrisers Hyderabad,4,2
2018,Chennai Super Kings,11,0
2018,Delhi Capitals,4,1
2018,Kings XI Punjab,5,1
2018,Kolkata Knight Riders,8,1
2018,Mumbai Indians,6,0
2018,Rajasthan Royals,3,4
2018,Royal Challengers Bangalore,6,0
2018,Sunrisers Hyderabad,7,3
2019,Chennai Super Kings,8,2
2019,Delhi Capitals,8,2
2019,Kings XI Punjab,6,0
2019,Kolkata Knight Riders,6,0
2019,Mumbai Indians,7,4
2019,Rajasthan Royals,5,0
2019,Royal Challengers Bangalore,5,0
2019,Sunrisers Hyderabad,4,2
2013,Delhi Capitals,0,2
2014,Delhi Capitals,0,2
2017,Royal Challengers Bangalore,0,2
